Beta1,Solidity,ID,LER/Chord,TER/Chord,Tmax/C,65_Camber,Dum,MCL B1*-AlphaChord,Camber_MCL,LE_Wedge_Angle,TE_Wedge_Angle,O_q_Tau,TE_O_q_Min_O,Attack_Angle,Turning,Ave_Min_Loss
30,1,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.756,1.072,-3,0,0.013
30,1.25,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.7226,1.115,-3,0,0.013
30,1.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.688,1.163,-4,-1.5,0.014
30,1,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.774,1.125,1,7,0.015
30,1.5,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.719,1.228,1,7.5,0.015
30,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.794,1.177,6,14.5,0.015
30,1.25,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.768,1.232,7.5,17.5,0.0155
30,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.755,1.282,7.5,18,0.016
30,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.79,1.218,7.5,19.5,0.014
30,1.5,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.77,1.296,11.5,24.5,0.017
30,1,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.803,1.244,11.5,25,0.016
30,1.25,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.783,1.275,12.5,27,0.0155
30,1.5,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.759,1.316,12.5,28.5,0.017
