Beta1,Solidity,ID,LER/Chord,TER/Chord,Tmax/C,65_Camber,Dum,MCL B1*-AlphaChord,Camber_MCL,LE_Wedge_Angle,TE_Wedge_Angle,O_q_Tau,TE_O_q_Min_O,Attack_Angle,Turning,Ave_Min_Loss
45,1.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.564,1.162,-1,2,0.0115
45,1.5,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.578,1.258,2,8,0.0155
45,1.5,65-(12)06,0.0024,0.0015,0.06,12,,13.8,28.4,13.3,9.8,0.686,1.294,11,21,0.012
45,1.5,65-(12)08,0.0043,0.0015,0.08,12,,13.8,28.4,17.9,12.8,0.648,1.318,9,19.5,0.0135
45,0.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.755,1.008,3,7,0.015
45,0.75,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.694,1.079,3.5,8.5,0.015
45,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.658,1.182,5,12.5,0.015
45,1.25,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.639,1.267,7,15,0.015
45,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.614,1.344,7.5,16.5,0.015
45,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.62,1.341,8,17,0.014
45,1.5,65-(12)10 1% TER,0.0067,0.01,0.1,12,,13.7,28.3,22.7,11.5,0.604,1.348,6.5,15,0.014
45,1.5,65-(12)10 2% TER,0.0067,0.02,0.1,12,,13.4,27.5,22.7,7.8,0.62,1.333,8,16,0.0155
45,1.5,65-(12)12,0.01,0.0015,0.12,12,,13.8,28.4,27.2,18.7,0.606,1.36,8.5,16.5,0.0165
45,1.5,65-(12)15,0.0151,0.0015,0.15,12,,13.6,28.2,33.8,22.7,0.569,1.402,8,14.5,0.018
45,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.685,1.233,9.5,19.5,0.014
45,1.5,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.64,1.404,12,24,0.017
45,0.5,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.77,1.028,6.5,12.5,0.014
45,0.75,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.729,1.154,10.5,20,0.019
45,1,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.669,1.285,9.5,20,0.0135
45,1.25,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.679,1.375,15,27.5,0.016
45,1.5,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.658,1.458,16,31,0.0175
45,1,65-(21)10,0.0067,0.0015,0.1,21,,23.8,48.9,22.4,14.4,0.704,1.33,15.5,29,0.0165
45,1.5,65-(21)10,0.0067,0.0015,0.1,21,,23.8,48.9,22.4,14.4,0.663,1.505,19,36,0.018
45,1,65-(24)10,0.0067,0.0015,0.1,24,,27.1,55.5,22.3,14.1,0.708,1.377,18,33.5,0.0165
45,1.5,65-(24)10,0.0067,0.0015,0.1,24,,27.1,55.5,22.3,14.1,0.66,1.512,21,40,0.019
