Beta1,Solidity,ID,LER/Chord,TER/Chord,Tmax/C,65_Camber,Dum,MCL B1*-AlphaChord,Camber_MCL,LE_Wedge_Angle,TE_Wedge_Angle,O_q_Tau,TE_O_q_Min_O,Attack_Angle,Turning,Ave_Min_Loss
70,0.75,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.369,1.001,-1.5,0.5,0.009
70,1,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.303,1.016,-1,0,0.009
70,1.5,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.323,1.145,3.5,5,0.009
70,2,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.26,1.319,2,2,0.01
70,1,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.281,1.012,-2.5,-2,0.011
70,1.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.26,1.249,1.5,0.5,0.0105
70,0.75,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.39,1,0.5,4,0.011
70,1,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.39,1.075,5.5,9.5,0.009
70,1.5,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.325,1.327,5.5,10,0.013
70,1,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.334,1.07,1.5,4,0.013
70,1.25,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.346,1.235,6,8,0.01
70,1.5,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.317,1.394,7,8.5,0.0115
70,0.75,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.423,1.002,3.5,7.5,0.01
70,1,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.385,1.126,6,9.5,0.011
70,1.5,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.375,1.46,11,17.5,0.011
70,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.363,1.14,4.5,7.5,0.015
70,1.25,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.364,1.368,9,12.5,0.013
70,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.338,1.566,10.5,13,0.012
70,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.405,1.196,8.5,12.5,0.015
70,1.5,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.357,1.682,13.5,16,0.016
